nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Número de folio consecutivo","7","C","folio","","0000001…0008300"
"Número de Vivienda seleccionada","2","C","viv_sel","","01...21"
"Número de Hogar en la vivienda","1","C","hogar","","1…3"
"Número del informante del hogar","2","C","n_inf","","01…13"
"Pregunta P7.2 En total, considerando todas las personas de su hogar, ¿de cuántas viviendas son propietarias?","2","C","p7_2","","01…12"
"Pregunta P7.3.2 De la vivienda con más gastos durante 2019, ¿quién es la dueña o el dueño de la segunda vivienda o la persona que más conoce las características de la misma? - NÚMERO DE RENGLÓN","2","C","p7_3_2","p7_3_2","00…13"
"Pregunta P7.3.3 De la vivienda con más gastos durante 2019, ¿quién es la dueña o el dueño de la segunda vivienda o la persona que más conoce las características de la misma? - SEGUNDA PERSONA","2","C","p7_3_3","p7_3_3","01…04,98"
"Pregunta P7.3A2 De estas (RESPUESTA DE 7.2) viviendas, pensando en la que tuvo más gastos de compra, construcción o mantenimiento durante 2020, ¿quién es la dueña o el dueño o la persona que más conoce sus características? - NÚMERO DE RENGLÓN","2","C","p7_3a2","","01…08"
"Pregunta P7.3A3 De estas (RESPUESTA DE 7.2) viviendas, pensando en la que tuvo más gastos de compra, construcción o mantenimiento durante 2020, ¿quién es la dueña o el dueño o la persona que más conoce sus características? - SEGUNDA PERSONA","2","C","p7_3a3","p7_3a3","01…04,98"
"Pregunta P7.3B ¿La vivienda con más gastos durante 2020 es la misma que mencionó para 2019?","1","C","p7_3b","p7_3b","1,2"
"Pregunta P7.9 ¿La segunda vivienda está en México o en otro país?","1","C","p7_9","p7_9","1,2"
"Pregunta P7.10 ¿La segunda vivienda…?","1","C","p7_10","p7_10","1…7"
"Pregunta P7.11.1 ¿En qué año se adquirió la segunda vivienda?","4","C","p7_11_1","p7_11_1","1900…2019,9999"
"Pregunta P7.11.2 ¿En qué año se inició la construcción de la segunda vivienda?","4","C","p7_11_2","p7_11_2","1920…2019,9999"
"Pregunta P7.11.3 ¿En qué año se finalizó la construcción de la segunda vivienda?","4","C","p7_11_3","p7_11_3","1940…2020,8888,9999"
"Pregunta P7.12 En total ¿cuánto se acordó pagar por la segunda vivienda?","9","C","p7_12","p7_12","000000009…100000000,900000000,999999888,999999999"
"Pregunta P7.12A ¿Esta cantidad es en…?","1","C","p7_12a","p7_12a","1,2"
"Pregunta P7.13.01 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de INFONAVIT?","1","C","p7_13_01","p7_13_01","1,2"
"Pregunta P7.14.01 ¿Cuánto les otorgaron (se usó) de (del) (crédito de INFONAVIT)?","9","C","p7_14_01","p7_14_01","000001900…100000000,999999888,999999999"
"Pregunta P7.14A.01 ¿Esta cantidad fue en…?","1","C","p7_14a_01","p7_14a_01","1,2"
"Pregunta P7.13.02 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de FOVISSSTE?","1","C","p7_13_02","p7_13_02","1,2"
"Pregunta P7.14.02 ¿Cuánto les otorgaron (se usó) de (del) (crédito de FOVISSSTE)?","9","C","p7_14_02","p7_14_02","000003000…010000000,999999888,999999999"
"Pregunta P7.14A.02 ¿Esta cantidad fue en…?","1","C","p7_14a_02","p7_14a_02","1,2"
"Pregunta P7.13.03 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de otra institución pública?","1","C","p7_13_03","p7_13_03","1,2"
